"NO_OUV","ADR","ACC_UNI","ASC","TYP_CHA","x","y","Longitude","lat"
281,"4700 Rue Notre-Dame O, Montréal","NON","1","Électricité",297868.84677983,5036960.5181569,-73.588647,45.472537
282,"205 Rue Saint-Ferdinand , Montréal","NON","0","Électricité",298337.16158992,5037310.411937,-73.582662,45.47569
284,"4550 Rue Sainte-Émilie , Montréal","NON","0","Électricité",298158.56073776,5036985.9806152,-73.584942,45.472769
285,"1210 Rue Sherbrooke E, Montréal","2","2","Électricité",299712.51105147,5042529.7158294,-73.565125,45.522667
286,"3699 Boulevard Crémazie E, Montréal","3","0","Électricité",296700.38165641,5047414.8874632,-73.603764,45.566597
290,"7075 Avenue Casgrain , Montréal","1","0","",295774.24389805,5043958.5237721,-73.615565,45.535484
291,"8675 Avenue de l' Épée (MTL) , Montréal","2","0","Électricité",293443.01323967,5043841.1724426,-73.645411,45.534394
292,"7075 Avenue Casgrain , Montréal","1","0","",295812.66456813,5044011.0288412,-73.615074,45.535957
293,"7047 Rue Saint-Dominique , Montréal","NON","0","Électricité",295758.57209187,5043869.8552117,-73.615764,45.534686
294,"7070 Avenue Casgrain , Montréal","NON","0","Électricité",295766.82041091,5043904.298537,-73.615659,45.534996
295,"7405 Avenue Champagneur , Montréal","NON","0","Électricité",294932.35447035,5043091.4100575,-73.626327,45.52767
297,"4985 Avenue West Hill , Montréal","1","0","Électricité",293967.6640688,5036839.8965116,-73.638539,45.471402
299,"8950 10e Avenue , Montréal","NON","0","Électricité",295004.65923505,5047774.2721596,-73.625495,45.569809
300,"1041 Rue Rachel E, Montréal","NON","1","Électricité",298958.51571146,5042876.3292928,-73.574781,45.52578
302,"955 Rue Marie-Anne E, Montréal","2","0","Électricité",298715.00058847,5042926.5641427,-73.577899,45.52623
303,"810 Rue Chatham , Montréal","NON","0","Électricité",298957.31145688,5038818.6175452,-73.574748,45.489267
304,"4151 Rue 53e , Montréal","NON","0","Électricité",294972.86196515,5049195.6993899,-73.625931,45.582599
306,"757 Rue des Seigneurs , Montréal","NON","0","",299093.22725801,5038885.6140133,-73.57301,45.489871
308,"5155 Rue Saint-Dominique , Montréal","NON","?","",297589.33599254,5042685.1608366,-73.592306,45.524047
310,"7035 2e Avenue , Montréal","NON","0","",297155.36718293,5046119.6324141,-73.597915,45.554947
311,"7525 Rue François-Perrault , Montréal","NON","0","Gaz naturel",296949.51388467,5046954.0429715,-73.600565,45.562453
312,"4250 Rue du Parc-René-Goupil , Montréal","NON","0","Électricité",296131.52808555,5048679.3395384,-73.611074,45.577968
313,"325 Avenue Duluth O, Montréal","NON","0","Électricité",298344.98924468,5041573.6935312,-73.582618,45.514053
314,"8475 13e Avenue , Montréal","NON","0","Électricité",295796.7948023,5047587.1540945,-73.615343,45.568136
315,"10560 Rue Saint-Hubert , Montréal","1","0","Électricité",291989.37898211,5046368.6664569,-73.664089,45.557112
316,"5300 Rue Saint-Dominique , Montréal","NON","0","Électricité",297331.29557972,5042804.0423139,-73.595611,45.525114
317,"6040 Boulevard Monk , Montréal","NON","1","Électricité",297337.7870068,5035311.6189656,-73.595414,45.457694
318,"1606 Avenue de l' Église , Montréal","3","2","Électricité",298158.55248944,5035943.6899883,-73.584928,45.46339
319,"11460 Rue Cherrier (MTE)","NON","0","",303155.73059281,5055226.4816255,-73.521091,45.636933
320,"5111 Rue Paré , Montréal","NON","?","",292752.85988902,5039834.515624,-73.654149,45.498329
321,"7650 Boulevard Maurice-Duplessis , Montréal","NON","?","Électricité",297409.67935555,5054134.9762472,-73.594779,45.627074
323,"6100 Rue De Pontgravé , Montréal","NON","0","Électricité",288028.38770973,5042829.6847895,-73.714703,45.525183
